oreID,oreName,oreNameZh,oreVolume,orePortionSize,oreMass,oreCapacity,mineralID,mineralName,materialNameZh,mineralVolume,mineralPortionSize,mineralMass,mineralCapacity,extractQuantity
18,Plagioclase,斜长岩,0.35,100,1.00E+35,0,34,Tritanium,三钛合金,0.01,1,0,0,175
18,Plagioclase,斜长岩,0.35,100,1.00E+35,0,36,Mexallon,类银超金属,0.01,1,0,0,70
19,Spodumain,灰岩,16,100,1.00E+35,0,34,Tritanium,三钛合金,0.01,1,0,0,48000
19,Spodumain,灰岩,16,100,1.00E+35,0,37,Isogen,同位聚合体,0.01,1,0,0,1000
19,Spodumain,灰岩,16,100,1.00E+35,0,38,Nocxium,超新星诺克石,0.01,1,0,0,160
19,Spodumain,灰岩,16,100,1.00E+35,0,39,Zydrine,晶状石英核岩,0.01,1,0,0,80
19,Spodumain,灰岩,16,100,1.00E+35,0,40,Megacyte,超噬矿,0.01,1,0,0,40
20,Kernite,水硼砂,1.2,100,1.00E+35,0,36,Mexallon,类银超金属,0.01,1,0,0,60
20,Kernite,水硼砂,1.2,100,1.00E+35,0,37,Isogen,同位聚合体,0.01,1,0,0,120
21,Hedbergite,同位原矿,3,100,1.00E+35,0,35,Pyerite,类晶体胶矿,0.01,1,0,0,450
21,Hedbergite,同位原矿,3,100,1.00E+35,0,38,Nocxium,超新星诺克石,0.01,1,0,0,120
22,Arkonor,艾克诺岩,16,100,1.00E+35,0,35,Pyerite,类晶体胶矿,0.01,1,0,0,3200
22,Arkonor,艾克诺岩,16,100,1.00E+35,0,36,Mexallon,类银超金属,0.01,1,0,0,1200
22,Arkonor,艾克诺岩,16,100,1.00E+35,0,40,Megacyte,超噬矿,0.01,1,0,0,120
1223,Bistot,双多特石,16,100,1.00E+35,0,35,Pyerite,类晶体胶矿,0.01,1,0,0,3200
1223,Bistot,双多特石,16,100,1.00E+35,0,36,Mexallon,类银超金属,0.01,1,0,0,1200
1223,Bistot,双多特石,16,100,1.00E+35,0,39,Zydrine,晶状石英核岩,0.01,1,0,0,160
1224,Pyroxeres,干焦岩,0.3,100,1.00E+35,0,35,Pyerite,类晶体胶矿,0.01,1,0,0,90
1224,Pyroxeres,干焦岩,0.3,100,1.00E+35,0,36,Mexallon,类银超金属,0.01,1,0,0,30
1225,Crokite,克洛基石,16,100,1.00E+35,0,35,Pyerite,类晶体胶矿,0.01,1,0,0,800
1225,Crokite,克洛基石,16,100,1.00E+35,0,36,Mexallon,类银超金属,0.01,1,0,0,2000
1225,Crokite,克洛基石,16,100,1.00E+35,0,38,Nocxium,超新星诺克石,0.01,1,0,0,800
1226,Jaspet,杰斯贝矿,2,100,1.00E+35,0,36,Mexallon,类银超金属,0.01,1,0,0,150
1226,Jaspet,杰斯贝矿,2,100,1.00E+35,0,38,Nocxium,超新星诺克石,0.01,1,0,0,50
1227,Omber,奥贝尔石,0.6,100,1.00E+35,0,35,Pyerite,类晶体胶矿,0.01,1,0,0,90
1227,Omber,奥贝尔石,0.6,100,1.00E+35,0,37,Isogen,同位聚合体,0.01,1,0,0,75
1228,Scordite,灼烧岩,0.15,100,1.00E+35,0,34,Tritanium,三钛合金,0.01,1,0,0,150
1228,Scordite,灼烧岩,0.15,100,1.00E+35,0,35,Pyerite,类晶体胶矿,0.01,1,0,0,90
1229,Gneiss,片麻岩,5,100,1.00E+35,0,35,Pyerite,类晶体胶矿,0.01,1,0,0,2000
1229,Gneiss,片麻岩,5,100,1.00E+35,0,36,Mexallon,类银超金属,0.01,1,0,0,1500
1229,Gneiss,片麻岩,5,100,1.00E+35,0,37,Isogen,同位聚合体,0.01,1,0,0,800
1230,Veldspar,凡晶石,0.1,100,4000,0,34,Tritanium,三钛合金,0.01,1,0,0,400
1231,Hemorphite,希莫非特,3,100,1.00E+35,0,37,Isogen,同位聚合体,0.01,1,0,0,240
1231,Hemorphite,希莫非特,3,100,1.00E+35,0,38,Nocxium,超新星诺克石,0.01,1,0,0,90
1232,Dark Ochre,黑赭石,8,100,1.00E+35,0,36,Mexallon,类银超金属,0.01,1,0,0,1360
1232,Dark Ochre,黑赭石,8,100,1.00E+35,0,37,Isogen,同位聚合体,0.01,1,0,0,1200
1232,Dark Ochre,黑赭石,8,100,1.00E+35,0,38,Nocxium,超新星诺克石,0.01,1,0,0,320
11396,Mercoxit,基腹断岩,40,100,1.00E+35,0,11399,Morphite,莫尔石,0.01,1,0,0,140
17425,Crimson Arkonor,红色艾克诺岩,16,100,1.00E+35,0,35,Pyerite,类晶体胶矿,0.01,1,0,0,3360
17425,Crimson Arkonor,红色艾克诺岩,16,100,1.00E+35,0,36,Mexallon,类银超金属,0.01,1,0,0,1260
17425,Crimson Arkonor,红色艾克诺岩,16,100,1.00E+35,0,40,Megacyte,超噬矿,0.01,1,0,0,126
17426,Prime Arkonor,艾克诺精华岩,16,100,1.00E+35,0,35,Pyerite,类晶体胶矿,0.01,1,0,0,3520
17426,Prime Arkonor,艾克诺精华岩,16,100,1.00E+35,0,36,Mexallon,类银超金属,0.01,1,0,0,1320
17426,Prime Arkonor,艾克诺精华岩,16,100,1.00E+35,0,40,Megacyte,超噬矿,0.01,1,0,0,132
17428,Triclinic Bistot,三晶双多特斜岩,16,100,1.00E+35,0,35,Pyerite,类晶体胶矿,0.01,1,0,0,3360
17428,Triclinic Bistot,三晶双多特斜岩,16,100,1.00E+35,0,36,Mexallon,类银超金属,0.01,1,0,0,1260
17428,Triclinic Bistot,三晶双多特斜岩,16,100,1.00E+35,0,39,Zydrine,晶状石英核岩,0.01,1,0,0,168
17429,Monoclinic Bistot,单晶双多特斜岩,16,100,1.00E+35,0,35,Pyerite,类晶体胶矿,0.01,1,0,0,3520
17429,Monoclinic Bistot,单晶双多特斜岩,16,100,1.00E+35,0,36,Mexallon,类银超金属,0.01,1,0,0,1320
17429,Monoclinic Bistot,单晶双多特斜岩,16,100,1.00E+35,0,39,Zydrine,晶状石英核岩,0.01,1,0,0,176
17432,Sharp Crokite,斜克洛基石,16,100,1.00E+35,0,35,Pyerite,类晶体胶矿,0.01,1,0,0,840
17432,Sharp Crokite,斜克洛基石,16,100,1.00E+35,0,36,Mexallon,类银超金属,0.01,1,0,0,2100
17432,Sharp Crokite,斜克洛基石,16,100,1.00E+35,0,38,Nocxium,超新星诺克石,0.01,1,0,0,840
17433,Crystalline Crokite,克洛基水晶,16,100,1.00E+35,0,35,Pyerite,类晶体胶矿,0.01,1,0,0,880
17433,Crystalline Crokite,克洛基水晶,16,100,1.00E+35,0,36,Mexallon,类银超金属,0.01,1,0,0,2200
17433,Crystalline Crokite,克洛基水晶,16,100,1.00E+35,0,38,Nocxium,超新星诺克石,0.01,1,0,0,880
17436,Onyx Ochre,条纹赭,8,100,1.00E+35,0,36,Mexallon,类银超金属,0.01,1,0,0,1428
17436,Onyx Ochre,条纹赭,8,100,1.00E+35,0,37,Isogen,同位聚合体,0.01,1,0,0,1260
17436,Onyx Ochre,条纹赭,8,100,1.00E+35,0,38,Nocxium,超新星诺克石,0.01,1,0,0,336
17437,Obsidian Ochre,黑曜赭石,8,100,1.00E+35,0,36,Mexallon,类银超金属,0.01,1,0,0,1496
17437,Obsidian Ochre,黑曜赭石,8,100,1.00E+35,0,37,Isogen,同位聚合体,0.01,1,0,0,1320
17437,Obsidian Ochre,黑曜赭石,8,100,1.00E+35,0,38,Nocxium,超新星诺克石,0.01,1,0,0,352
17440,Vitric Hedbergite,玻璃状同位原矿,3,100,1.00E+35,0,35,Pyerite,类晶体胶矿,0.01,1,0,0,473
17440,Vitric Hedbergite,玻璃状同位原矿,3,100,1.00E+35,0,38,Nocxium,超新星诺克石,0.01,1,0,0,126
17441,Glazed Hedbergite,光面同位原矿,3,100,1.00E+35,0,35,Pyerite,类晶体胶矿,0.01,1,0,0,495
17441,Glazed Hedbergite,光面同位原矿,3,100,1.00E+35,0,38,Nocxium,超新星诺克石,0.01,1,0,0,132
17444,Vivid Hemorphite,多色希莫非特,3,100,1.00E+35,0,37,Isogen,同位聚合体,0.01,1,0,0,252
17444,Vivid Hemorphite,多色希莫非特,3,100,1.00E+35,0,38,Nocxium,超新星诺克石,0.01,1,0,0,95
17445,Radiant Hemorphite,辐射希莫非特,3,100,1.00E+35,0,37,Isogen,同位聚合体,0.01,1,0,0,264
17445,Radiant Hemorphite,辐射希莫非特,3,100,1.00E+35,0,38,Nocxium,超新星诺克石,0.01,1,0,0,99
17448,Pure Jaspet,纯杰斯贝矿,2,100,1.00E+35,0,36,Mexallon,类银超金属,0.01,1,0,0,158
17448,Pure Jaspet,纯杰斯贝矿,2,100,1.00E+35,0,38,Nocxium,超新星诺克石,0.01,1,0,0,53
17449,Pristine Jaspet,朴质杰斯贝矿,2,100,1.00E+35,0,36,Mexallon,类银超金属,0.01,1,0,0,165
17449,Pristine Jaspet,朴质杰斯贝矿,2,100,1.00E+35,0,38,Nocxium,超新星诺克石,0.01,1,0,0,55
17452,Luminous Kernite,发光水硼砂,1.2,100,1.00E+35,0,36,Mexallon,类银超金属,0.01,1,0,0,63
17452,Luminous Kernite,发光水硼砂,1.2,100,1.00E+35,0,37,Isogen,同位聚合体,0.01,1,0,0,126
17453,Fiery Kernite,灼热水硼砂,1.2,100,1.00E+35,0,36,Mexallon,类银超金属,0.01,1,0,0,66
17453,Fiery Kernite,灼热水硼砂,1.2,100,1.00E+35,0,37,Isogen,同位聚合体,0.01,1,0,0,132
17455,Azure Plagioclase,蓝色斜长岩,0.35,100,1.00E+35,0,34,Tritanium,三钛合金,0.01,1,0,0,184
17455,Azure Plagioclase,蓝色斜长岩,0.35,100,1.00E+35,0,36,Mexallon,类银超金属,0.01,1,0,0,74
17456,Rich Plagioclase,富斜长岩,0.35,100,1.00E+35,0,34,Tritanium,三钛合金,0.01,1,0,0,193
17456,Rich Plagioclase,富斜长岩,0.35,100,1.00E+35,0,36,Mexallon,类银超金属,0.01,1,0,0,77
17459,Solid Pyroxeres,固体干焦岩,0.3,100,1.00E+35,0,35,Pyerite,类晶体胶矿,0.01,1,0,0,95
17459,Solid Pyroxeres,固体干焦岩,0.3,100,1.00E+35,0,36,Mexallon,类银超金属,0.01,1,0,0,32
17460,Viscous Pyroxeres,流体干焦岩,0.3,100,1.00E+35,0,35,Pyerite,类晶体胶矿,0.01,1,0,0,99
17460,Viscous Pyroxeres,流体干焦岩,0.3,100,1.00E+35,0,36,Mexallon,类银超金属,0.01,1,0,0,33
17463,Condensed Scordite,浓缩灼烧岩,0.15,100,1.00E+35,0,34,Tritanium,三钛合金,0.01,1,0,0,158
17463,Condensed Scordite,浓缩灼烧岩,0.15,100,1.00E+35,0,35,Pyerite,类晶体胶矿,0.01,1,0,0,95
17464,Massive Scordite,厚灼烧岩,0.15,100,1.00E+35,0,34,Tritanium,三钛合金,0.01,1,0,0,165
17464,Massive Scordite,厚灼烧岩,0.15,100,1.00E+35,0,35,Pyerite,类晶体胶矿,0.01,1,0,0,99
17466,Bright Spodumain,亮灰岩,16,100,1.00E+35,0,34,Tritanium,三钛合金,0.01,1,0,0,50400
17466,Bright Spodumain,亮灰岩,16,100,1.00E+35,0,37,Isogen,同位聚合体,0.01,1,0,0,1050
17466,Bright Spodumain,亮灰岩,16,100,1.00E+35,0,38,Nocxium,超新星诺克石,0.01,1,0,0,168
17466,Bright Spodumain,亮灰岩,16,100,1.00E+35,0,39,Zydrine,晶状石英核岩,0.01,1,0,0,84
17466,Bright Spodumain,亮灰岩,16,100,1.00E+35,0,40,Megacyte,超噬矿,0.01,1,0,0,42
17467,Gleaming Spodumain,发光灰岩,16,100,1.00E+35,0,34,Tritanium,三钛合金,0.01,1,0,0,52800
17467,Gleaming Spodumain,发光灰岩,16,100,1.00E+35,0,37,Isogen,同位聚合体,0.01,1,0,0,1100
17467,Gleaming Spodumain,发光灰岩,16,100,1.00E+35,0,38,Nocxium,超新星诺克石,0.01,1,0,0,176
17467,Gleaming Spodumain,发光灰岩,16,100,1.00E+35,0,39,Zydrine,晶状石英核岩,0.01,1,0,0,88
17467,Gleaming Spodumain,发光灰岩,16,100,1.00E+35,0,40,Megacyte,超噬矿,0.01,1,0,0,44
17470,Concentrated Veldspar,富凡晶石,0.1,100,4000,0,34,Tritanium,三钛合金,0.01,1,0,0,420
17471,Dense Veldspar,厚质凡晶石,0.1,100,4000,0,34,Tritanium,三钛合金,0.01,1,0,0,440
17865,Iridescent Gneiss,彩色片麻岩,5,100,1.00E+35,0,35,Pyerite,类晶体胶矿,0.01,1,0,0,2100
17865,Iridescent Gneiss,彩色片麻岩,5,100,1.00E+35,0,36,Mexallon,类银超金属,0.01,1,0,0,1575
17865,Iridescent Gneiss,彩色片麻岩,5,100,1.00E+35,0,37,Isogen,同位聚合体,0.01,1,0,0,840
17866,Prismatic Gneiss,棱柱片麻岩,5,100,1.00E+35,0,35,Pyerite,类晶体胶矿,0.01,1,0,0,2200
17866,Prismatic Gneiss,棱柱片麻岩,5,100,1.00E+35,0,36,Mexallon,类银超金属,0.01,1,0,0,1650
17866,Prismatic Gneiss,棱柱片麻岩,5,100,1.00E+35,0,37,Isogen,同位聚合体,0.01,1,0,0,880
17867,Silvery Omber,银色奥贝尔石,0.6,100,1.00E+35,0,35,Pyerite,类晶体胶矿,0.01,1,0,0,95
