oreID,oreName,oreNameZh,volume,portionSize,mass,capacity
18,Plagioclase,斜长岩,0.35,100,1e35,0
19,Spodumain,灰岩,16,100,1e35,0
20,Kernite,水硼砂,1.2,100,1e35,0
21,Hedbergite,同位原矿,3,100,1e35,0
22,Arkonor,艾克诺岩,16,100,1e35,0
1223,Bistot,双多特石,16,100,1e35,0
1224,Pyroxeres,干焦岩,0.3,100,1e35,0
1225,Crokite,克洛基石,16,100,1e35,0
1226,Jaspet,杰斯贝矿,2,100,1e35,0
1227,Omber,奥贝尔石,0.6,100,1e35,0
1228,Scordite,灼烧岩,0.15,100,1e35,0
1229,Gneiss,片麻岩,5,100,1e35,0
1230,Veldspar,凡晶石,0.1,100,4000,0
1231,Hemorphite,希莫非特,3,100,1e35,0
1232,"Dark Ochre",黑赭石,8,100,1e35,0
11396,Mercoxit,基腹断岩,40,100,1e35,0
17425,"Crimson Arkonor",红色艾克诺岩,16,100,1e35,0
17426,"Prime Arkonor",艾克诺精华岩,16,100,1e35,0
17428,"Triclinic Bistot",三晶双多特斜岩,16,100,1e35,0
17429,"Monoclinic Bistot",单晶双多特斜岩,16,100,1e35,0
17432,"Sharp Crokite",斜克洛基石,16,100,1e35,0
17433,"Crystalline Crokite",克洛基水晶,16,100,1e35,0
17436,"Onyx Ochre",条纹赭,8,100,1e35,0
17437,"Obsidian Ochre",黑曜赭石,8,100,1e35,0
17440,"Vitric Hedbergite",玻璃状同位原矿,3,100,1e35,0
17441,"Glazed Hedbergite",光面同位原矿,3,100,1e35,0
17444,"Vivid Hemorphite",多色希莫非特,3,100,1e35,0
17445,"Radiant Hemorphite",辐射希莫非特,3,100,1e35,0
17448,"Pure Jaspet",纯杰斯贝矿,2,100,1e35,0
17449,"Pristine Jaspet",朴质杰斯贝矿,2,100,1e35,0
17452,"Luminous Kernite",发光水硼砂,1.2,100,1e35,0
17453,"Fiery Kernite",灼热水硼砂,1.2,100,1e35,0
17455,"Azure Plagioclase",蓝色斜长岩,0.35,100,1e35,0
17456,"Rich Plagioclase",富斜长岩,0.35,100,1e35,0
17459,"Solid Pyroxeres",固体干焦岩,0.3,100,1e35,0
17460,"Viscous Pyroxeres",流体干焦岩,0.3,100,1e35,0
17463,"Condensed Scordite",浓缩灼烧岩,0.15,100,1e35,0
17464,"Massive Scordite",厚灼烧岩,0.15,100,1e35,0
17466,"Bright Spodumain",亮灰岩,16,100,1e35,0
17467,"Gleaming Spodumain",发光灰岩,16,100,1e35,0
17470,"Concentrated Veldspar",富凡晶石,0.1,100,4000,0
17471,"Dense Veldspar",厚质凡晶石,0.1,100,4000,0
17865,"Iridescent Gneiss",彩色片麻岩,5,100,1e35,0
17866,"Prismatic Gneiss",棱柱片麻岩,5,100,1e35,0
17867,"Silvery Omber",银色奥贝尔石,0.6,100,1e35,0
17868,"Golden Omber",金色奥贝尔石,0.6,100,1e35,0
17869,"Magma Mercoxit",基腹断岩岩浆,40,100,1e35,0
17870,"Vitreous Mercoxit",玻璃化基腹断岩,40,100,1e35,0
28367,"Compressed Arkonor",高密度艾克诺岩,8.8,1,1e35,0
28385,"Compressed Crimson Arkonor",高密度红色艾克诺岩,8.8,1,1e35,0
28387,"Compressed Prime Arkonor",高密度艾克诺精华岩,8.8,1,1e35,0
28388,"Compressed Bistot",高密度双多特石,4.4,1,1e35,0
28389,"Compressed Monoclinic Bistot",高密度单晶双多特斜岩,4.4,1,1e35,0
28390,"Compressed Triclinic Bistot",高密度三晶双多特斜岩,4.4,1,1e35,0
28391,"Compressed Crokite",高密度克洛基石,7.81,1,1e35,0
28392,"Compressed Crystalline Crokite",高密度克洛基水晶,7.81,1,1e35,0
28393,"Compressed Sharp Crokite",高密度斜克洛基石,7.81,1,1e35,0
28394,"Compressed Dark Ochre",高密度黑赭石,4.2,1,1e35,0
28395,"Compressed Obsidian Ochre",高密度黑曜赭石,4.2,1,1e35,0
28396,"Compressed Onyx Ochre",高密度条纹赭,4.2,1,1e35,0
28397,"Compressed Gneiss",高密度片麻岩,1.8,1,1e35,0
28398,"Compressed Iridescent Gneiss",高密度彩色片麻岩,1.8,1,1e35,0
28399,"Compressed Prismatic Gneiss",高密度棱柱片麻岩,1.8,1,1e35,0
28400,"Compressed Glazed Hedbergite",高密度光面同位原矿,0.47,1,1e35,0
28401,"Compressed Hedbergite",高密度同位原矿,0.47,1,1e35,0
